Restaurant Name,,City,Address,Locality,,,,Cuisines,,,Has Table booking,Has Online delivery,,,,Aggregate rating,,Rating text
Gulshan Dhaba,,Gurgaon,"Sohna Chowk, Sohna Road, Gurgaon",Sohna Road,,,,North Indian,,,No,No,,,,3.4,,Average
Karari Kurry,,Gurgaon,"Shop 2, Food Street, P.D Arcade, Near Omaxe Mall, Sector 49, Near Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Chinese, Fast Food",,,No,Yes,,,,3.4,,Average
Moti Mahal Delux,,Gurgaon,"Shop 1-A, Subhash Chowk, Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Mughlai",,,Yes,Yes,,,,3.2,,Average
Needs Gourmet,,Gurgaon,"Badshahpur Chowk, Vatika City, Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Chinese, Italian",,,Yes,No,,,,3.1,,Average
Rao's Meeting Point,,Gurgaon,"Near Omaxe City Center Mall, Sohna Road, Gurgaon",Sohna Road,,,,"South Indian, North Indian, Chinese",,,No,No,,,,3.4,,Average
Sadabahar Hotel,,Gurgaon,"3 Km Milestone, Opposite 9X Mall, Sohna Road, Gurgaon",Sohna Road,,,,North Indian,,,No,No,,,,2.9,,Average
Sagar Ratna,,Gurgaon,"Plot 12-D, Ground Floor, JMD Galleria, Sohna Road, Gurgaon",Sohna Road,,,,"South Indian, North Indian, Chinese",,,No,Yes,,,,2.5,,Average
Shri Ram Restaurant,,Gurgaon,"Opposite Omaxe City Center, Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Street Food, Mithai",,,No,No,,,,3.1,,Average
Shri Ram Restaurant,,Gurgaon,"Sector 48, Opposite Eldeco Mansionz, Fazilpur Chowk, Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Mithai, Street Food",,,No,No,,,,2.6,,Average
Subway,,Gurgaon,"7, Ground Floor, Welldone Tech Park, Sohna Road, Gurgaon",Sohna Road,,,,"American, Fast Food, Salad, Healthy Food",,,No,Yes,,,,2.9,,Average
Subway,,Gurgaon,"4, Ground Floor, Block B, Vatika Business Park, Sohna Road, Gurgaon",Sohna Road,,,,"American, Fast Food, Salad, Healthy Food",,,No,Yes,,,,2.9,,Average
Sugarcraft Patisserie,,Gurgaon,"G-37, Ground Floor, The Sapphire, Block S, Uppal Southend, Sohna Road, Gurgaon",Sohna Road,,,,Bakery,,,No,No,,,,3.3,,Average
Tea Halt,,Gurgaon,"Food Court, Amenity Block, Infospace, Sector 48, Near Sohna Road, Gurgaon",Sohna Road,,,,Cafe,,,No,Yes,,,,2.8,,Average
The Golden Dragon,,Gurgaon,"Ground Floor, Spazedge Mall, Sohna Road, Gurgaon",Sohna Road,,,,"Chinese, Seafood, Japanese",,,Yes,Yes,,,,2.6,,Average
The Spice Room,,Gurgaon,"Ground Floor, Tower 3,  Vatika Business Park, Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Chinese",,,Yes,Yes,,,,3.4,,Average
The Tongue Twister,,Gurgaon,"Opposite G D Goenka University, Sohna Road, Gurgaon",Sohna Road,,,,"Chinese, North Indian, Mughlai",,,No,No,,,,3.4,,Average
56 Fresca,,Gurgaon,"Ground Floor, Block 3, Vatika Business Park, Sector 49, Near Sohna Road, Gurgaon",Sohna Road,,,,Italian,,,Yes,Yes,,,,3.7,,Good
BreakfastBay,,Gurgaon,"241-242, Tower B3, Spaze Itech Park, Sohna Road, Gurgaon",Sohna Road,,,,"Healthy Food, Continental, North Indian, Salad",,,No,Yes,,,,3.5,,Good
Cafe Maple Street,,Gurgaon,"1, Tower B, Vatika Business Park, Sohna Road, Gurgaon",Sohna Road,,,,"Cafe, Bakery, Desserts",,,No,Yes,,,,3.5,,Good
Fat Lulu's,,Gurgaon,"Sohna Road, Gurgaon",Sohna Road,,,,"Pizza, Italian",,,No,Yes,,,,3.7,,Good
Fat Monk,,Gurgaon,"Food Court, Amenity Block, Infospace, Sector 48, Sohna Road, Gurgaon",Sohna Road,,,,"Chinese, Asian",,,No,Yes,,,,3.9,,Good
First Eat,,Gurgaon,"Sohna Road, Gurgaon",Sohna Road,,,,"Healthy Food, North Indian",,,No,No,,,,3.6,,Good
Flying Tuk Tuk,,Gurgaon,"Unit 31 - 32, Ground Floor, Vipul Trade Centre, Sector 48, Sohna Road, Gurgaon",Sohna Road,,,,Asian,,,Yes,No,,,,3.9,,Good
FreshMenu,,Gurgaon,"512, Gehlot Farm House, Sector 47, Near, Sohna Road, Gurgaon",Sohna Road,,,,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",,,No,Yes,,,,3.9,,Good
Little Skillet,,Gurgaon,"Shop 5, Sapphire complex, Sector 49, Near Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Chinese, Fast Food",,,No,No,,,,3.5,,Good
PKay,,Gurgaon,"Spaze IT Park, Tower C, Sector 49, Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Continental",,,Yes,No,,,,3.7,,Good
Shama Chicken Corner,,Gurgaon,"Shop 1, Fazilpur Chowk, Near Omaxe City, Sohna Road, Gurgaon",Sohna Road,,,,Biryani,,,No,No,,,,3.6,,Good
Starbucks,,Gurgaon,"Ground Floor, Vatika Business Park, Sector 49, Sohna Road, Gurgaon",Sohna Road,,,,Cafe,,,No,No,,,,3.7,,Good
Tandoori Nation,,Gurgaon,"G-4, Tower D Welldone Tech Park , Near JMD Megapolis, Sohna Road, Gurgaon",Sohna Road,,,,"North Indian, Mughlai, Chinese",,,No,Yes,,,,3.5,,Good
Truffle Tangles,,Gurgaon,"Flat 122, Jasmanium 2, Vatika City, Sector 49, Near Sohna Road, Gurgaon",Sohna Road,,,,"Bakery, Desserts, North Indian, Bengali, South Indian",,,No,No,,,,3.5,,Good
Domino's Pizza,,Gurgaon,"30, Ground Floor, ILD Trade Center, Sohna Road, Gurgaon",Sohna Road,,,,"Pizza, Fast Food",,,No,No,,,,2.3,,Poor
KB's Icecream & Kulfis,,Gurgaon,"2, Opposite Omaxe Mall, CD Chowk, Sohna Road, Gurgaon",Sohna Road,,,,Ice Cream,,,No,Yes,,,,2.3,,Poor
Wah Ji Wah,,Gurgaon,"Shop 1A, Subhash Chowk, Near Omaxe Celebration Mall, Sohna Road, Gurgaon",Sohna Road,,,,North Indian,,,No,No,,,,2.4,,Poor
The Brewhouse,,Gurgaon,"Fortune Select Excalibur, Sector 49, Sohna Road, Gurgaon",Sohna Road,,,,Continental,,,Yes,No,,,,4.1,,Very Good
Boozer's,,Gurgaon,"Phase-1, South City 1, Gurgaon",South City 1,,,,"Finger Food, North Indian, Chinese",,,Yes,No,,,,0,,Not rated
Cheffy's,,Gurgaon,"F-52, South City 1, Gurgaon",South City 1,,,,"North Indian, Mughlai",,,No,No,,,,0,,Not rated
Cake Point,,Gurgaon,"Village Wazirabad, Near Lakshay Tent House Sector 52, South City 2, Gurgaon",South City 2,,,,"Bakery, Desserts",,,No,Yes,,,,2.8,,Average
Shyam Sweets,,Gurgaon,"Main Market, Wazirabad, Near South City 2, Gurgaon",South City 2,,,,"Street Food, Mithai",,,No,No,,,,2.8,,Average
Uma Foodies' Hut,,Gurgaon,"Main Market, Wazirabad, South City 2, Gurgaon",South City 2,,,,"North Indian, Chinese, Mughlai",,,No,No,,,,3.1,,Average
AK Your Food,,Gurgaon,"Shop 4, B Block, Gate 2, Sector 52, South City 2, Gurgaon",South City 2,,,,North Indian,,,No,No,,,,0,,Not rated
Freshnfit.in,,Gurgaon,"Sector 52, Near South City 2, Gurgaon",South City 2,,,,Juices,,,No,No,,,,0,,Not rated
Shri Ram Bhojnalaya,,Gurgaon,"Shop 6, Vohra Market, South City 2, Gurgaon",South City 2,,,,North Indian,,,No,No,,,,0,,Not rated
Special O-cake-sions,,Gurgaon,"702, Jai Heights, Plot 10, Sector 52, South City 2, Gurgaon",South City 2,,,,"Bakery, Desserts",,,No,No,,,,0,,Not rated
Tasteful Biryani,,Gurgaon,"South City 2, Gurgaon",South City 2,,,,Biryani,,,No,No,,,,0,,Not rated
Bikanervala,,Gurgaon,"Suncity Business Tower, Golf Course Road, Gurgaon","Suncity Business Tower, Golf Course Road",,,,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",,,No,Yes,,,,3.4,,Average
Indian Grill Room,,Gurgaon,"315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon","Suncity Business Tower, Golf Course Road",,,,"North Indian, Mughlai",,,Yes,Yes,,,,4.5,,Excellent
Oriental Fusion,,Gurgaon,"A-112 & 114, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Chinese, Thai, Malaysian, Indonesian",,,Yes,Yes,,,,3.3,,Average
Purani Dilli's Al Karam Kebab House,,Gurgaon,"Super Mart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"North Indian, Mughlai, Biryani",,,No,Yes,,,,3.4,,Average
Rollmaal,,Gurgaon,"B-136, Lower Ground Floor, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Fast Food, North Indian, Chinese",,,No,Yes,,,,3.4,,Average
Speedy Chow,,Gurgaon,"B-134/135, Lower Ground Floor, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Chinese, Thai",,,Yes,Yes,,,,3.2,,Average
Arabian Nites,,Gurgaon,"A - 133, Ground Floor, Super Mart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,Lebanese,,,No,Yes,,,,3.8,,Good
Giani's,,Gurgaon,"A-131, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Ice Cream, Desserts",,,No,Yes,,,,3.7,,Good
Giani,,Gurgaon,"A-130, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Ice Cream, Desserts",,,No,Yes,,,,3.6,,Good
Juste Miam,,Gurgaon,"A-137, Lower Ground Floor, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Bakery, Desserts, Fast Food",,,No,Yes,,,,3.9,,Good
Patiala Shahi,,Gurgaon,"A 134 135, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"North Indian, Mughlai",,,No,Yes,,,,3.5,,Good
The Kathis,,Gurgaon,"B-215, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"North Indian, Street Food",,,No,Yes,,,,3.8,,Good
Wai Yu Mun Ching,,Gurgaon,"A-215 & 216, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Chinese, Thai",,,Yes,Yes,,,,3.6,,Good
Bernardo's,,Gurgaon,"A-237, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,Goan,,,Yes,Yes,,,,4,,Very Good
Biryani Art,,Gurgaon,"A-202 & 203, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Hyderabadi, North Indian, Biryani",,,Yes,Yes,,,,4.1,,Very Good
Nosh,,Gurgaon,"A 222, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"North Indian, Mughlai",,,No,Yes,,,,4.1,,Very Good
Tandoor Express,,Gurgaon,"B-215, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,North Indian,,,No,Yes,,,,4.2,,Very Good
Tandoori KnockOuts,,Gurgaon,"A 224, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"Fast Food, North Indian",,,No,Yes,,,,4.2,,Very Good
Udaipuri,,Gurgaon,"A-204, A-205, Supermart 1, DLF Phase 4, Gurgaon","Supermart 1, DLF Phase 4",,,,"North Indian, Rajasthani, Asian",,,No,Yes,,,,4,,Very Good
Begonia,,Gurgaon,"C Block, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,Bakery,,,No,No,,,,3,,Average
Cakes & Muffins,,Gurgaon,"B-1/75, 1st Floor, Phase 3, Sushant Lok, Gurgaon",Sushant Lok,,,,Bakery,,,No,No,,,,3.3,,Average
Halki Aanch,,Gurgaon,"The Laburnum, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"North Indian, Chinese",,,No,Yes,,,,2.7,,Average
Hungry Gopal,,Gurgaon,"C-463 A, Basement, Near Gold Souk Mall, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"Bengali, Fast Food",,,No,No,,,,3.2,,Average
Kuzo,,Gurgaon,"Gold Souk Mall, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"North Indian, Fast Food",,,No,No,,,,3.2,,Average
Lovecrumbs Bakery,,Gurgaon,"B 286, Phase-1, Sushant Lok, Gurgaon",Sushant Lok,,,,Bakery,,,No,No,,,,3.4,,Average
Organic Express,,Gurgaon,"Gurgaon Organic Farmers Market, C Block, Community Centre, Sushant Lok, Gurgaon",Sushant Lok,,,,"Healthy Food, North Indian, Italian, Salad",,,No,Yes,,,,3.4,,Average
Pizza Hut,,Gurgaon,"Centerpoint, A Block, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"Italian, Pizza, Fast Food",,,No,Yes,,,,2.8,,Average
Roti Te Boti,,Gurgaon,"135, Ground Floor, Vyapar Kendra, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,North Indian,,,No,Yes,,,,2.8,,Average
Behrouz Biryani,,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,,,,Biryani,,,No,Yes,,,,3.7,,Good
CafÌ© Burger BC,,Gurgaon,"2513, Near Gold Souk Mall, C Block,  Sushant Lok, Gurgaon",Sushant Lok,,,,Fast Food,,,No,Yes,,,,3.7,,Good
Dilli Darbar,,Gurgaon,"UGF 138, Vypaar Kendra Market, Sushant Lok, Gurgaon",Sushant Lok,,,,"North Indian, Mughlai, Chinese",,,No,Yes,,,,3.7,,Good
Fu.D,,Gurgaon,"9-C, Ground Floor, Vipul Square, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"Cafe, Fast Food",,,No,Yes,,,,3.7,,Good
Jarfull,,Gurgaon,"G35, Sushant Shopping arcade, Sushant Lok 1, Gurgaon, Delhi NCR, Sushant Lok, Gurgaon",Sushant Lok,,,,"South Indian, Desserts, Beverages",,,No,Yes,,,,3.7,,Good
Mochamania,,Gurgaon,"106, The Laburnum Villa, Sushant Lok, Gurgaon",Sushant Lok,,,,Bakery,,,No,No,,,,3.7,,Good
Mukhtalif Biryanis,,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,,,,"Mughlai, Biryani",,,No,Yes,,,,3.7,,Good
Mummy's Kitchen,,Gurgaon,"Shop 114, Queens Plaza, C Block, Sushant Lok, Gurgaon",Sushant Lok,,,,North Indian,,,No,No,,,,3.5,,Good
Ovenstory Pizza,,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,,,,"Pizza, Fast Food",,,No,Yes,,,,3.7,,Good
The Godinho's,,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,,,,"Goan, American, Portuguese",,,No,No,,,,3.8,,Good
Kujay's Spoon,,Gurgaon,"C-2462, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"North Indian, Mughlai, Chinese",,,No,No,,,,0,,Not rated
Lily Food's,,Gurgaon,"Ground Floor, Gold Souk Mall, Sushant Lok, Gurgaon",Sushant Lok,,,,"North Indian, Chinese",,,No,No,,,,0,,Not rated
Mutton Mewar,,Gurgaon,"Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,Rajasthani,,,No,No,,,,0,,Not rated
Tasty But Healthy,,Gurgaon,"C-2356, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"Fast Food, North Indian",,,No,No,,,,0,,Not rated
Teddy Choco Studio,,Gurgaon,"C-479, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,Desserts,,,No,No,,,,0,,Not rated
Chin Chow,,Gurgaon,"UGH-180, 1st Floor, Vyapar Kendra, Sushant Lok, Gurgaon",Sushant Lok,,,,Chinese,,,No,No,,,,2.4,,Poor
Cafe Sante,,Gurgaon,"Peach Tree Complex, Block C, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,Cafe,,,No,No,,,,4.3,,Very Good
Mughal Dine-Esty,,Gurgaon,"Time Square Building, B Block, Phase 1, Sushant Lok, Gurgaon",Sushant Lok,,,,"North Indian, Mughlai",,,Yes,Yes,,,,4,,Very Good
Nuterro,,Gurgaon,"Sector 28, Sushant Lok Phase I, Sushant Lok, Gurgaon",Sushant Lok,,,,"Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",,,No,Yes,,,,4,,Very Good
Sandburg Shakes,,Gurgaon,"Sushant Lok, Gurgaon",Sushant Lok,,,,"Cafe, Pizza, Burger",,,No,Yes,,,,4,,Very Good
The Millionaire Express,,Gurgaon,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",Sushant Lok,,,,Continental,,,No,Yes,,,,4,,Very Good
Ammu's South Indian Restaurant,,Gurgaon,"G-43, Ground Floor, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,South Indian,,,No,No,,,,3.1,,Average
Elma's Delivers,,Gurgaon,"Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,Bakery,,,No,No,,,,3.1,,Average
Faasos,,Gurgaon,"Shop E-220, Shushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"North Indian, Fast Food",,,No,Yes,,,,3.2,,Average
Foodrath,,Gurgaon,"Shop GF, 105-H, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"North Indian, Chinese",,,No,No,,,,3,,Average
Hyderabad House,,Gurgaon,"H-154, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,Biryani,,,No,Yes,,,,2.7,,Average
Kake Da Hotel,,Gurgaon,"G-114, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,North Indian,,,No,Yes,,,,3.1,,Average
Mitraao,,Gurgaon,"Shop H-8, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,North Indian,,,No,Yes,,,,3.4,,Average
PomoDoro Bistro,,Gurgaon,"UGF, H-222, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"Italian, Fast Food",,,No,Yes,,,,3.4,,Average
Shri Shyam Ji Ke Mashhoor Chhole Bhature,,Gurgaon,"C Block, Near Fauji Market, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,Street Food,,,No,No,,,,3.3,,Average
Spice Aangan Express,,Gurgaon,"H-154, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,Fast Food,,,No,No,,,,3,,Average
Subway,,Gurgaon,"D-104, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"American, Fast Food, Salad, Healthy Food",,,No,No,,,,3.3,,Average
Swaad Ka Khazana,,Gurgaon,"F-11, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"North Indian, Mughlai, Chinese",,,No,No,,,,2.6,,Average
The Toddy Shop,,Gurgaon,"C-128, B Block, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"South Indian, Kerala",,,No,Yes,,,,3.4,,Average
Truffles,,Gurgaon,"G-28, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,Bakery,,,No,Yes,,,,3.2,,Average
Cafe Bonkerz,,Gurgaon,"Shop D-3, LGF, Sushant Shopping Arcade, Phase 1, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"American, Fast Food",,,No,Yes,,,,3.6,,Good
Wrapchick,,Gurgaon,"F-10, Sushant Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"North Indian, Mughlai",,,No,Yes,,,,3.9,,Good
WoW - Vada Pav & More,,Gurgaon,"Shop 137-D, Ground Floor, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,"Street Food, Fast Food",,,No,Yes,,,,2.2,,Poor
Me Kong Bowl,,Gurgaon,"G229, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon",,,,Asian,,,No,Yes,,,,4,,Very Good
Palmyra - The Bristol Hotel,,Gurgaon,"The Bristol Hotel, 108-110, DLF Phase 1, Gurgaon","The Bristol Hotel, DLF Phase 1",,,,"Continental, North Indian",,,Yes,No,,,,3.3,,Average
Shanghai Bar & Lounge - The Bristol Hotel,,Gurgaon,"The Bristol Hotel, 108-110, DLF Phase 1, Gurgaon","The Bristol Hotel, DLF Phase 1",,,,Finger Food,,,Yes,No,,,,3,,Average
Zaffran - The Bristol Hotel,,Gurgaon,"The Bristol Hotel, 108-110, DLF Phase 1, Gurgaon","The Bristol Hotel, DLF Phase 1",,,,"Mughlai, Lucknowi, Awadhi",,,Yes,No,,,,3.2,,Average
Zaffran - The Claremont,,Gurgaon,"The Claremont Hotel & Convention Centre, Near Aya Nagar, MG Road, Gurgaon","The Claremont, MG Road",,,,"Mughlai, Lucknowi, Awadhi",,,Yes,No,,,,3,,Average
Clove - The Galgotias,,Gurgaon,"The Galgotias Hotel, 4, Sector 23 A, Sector 23, Gurgaon","The Galgotias, Sector 23",,,,"Chinese, North Indian, Continental, Mexican",,,Yes,No,,,,2.7,,Average
Green Leaf,,Gurgaon,"The Habitare Hotel, 21/1, MG Road, Sector 14, Gurgaon","The Habitare Hotel, Sector 14",,,,"North Indian, South Indian",,,Yes,No,,,,3,,Average
Tokyo,,Gurgaon,"The Habitare Hotel, 21/1, MG Road, Sector 14, Gurgaon","The Habitare Hotel, Sector 14",,,,Japanese,,,Yes,No,,,,3,,Average
Cigar Lounge - The Oberoi,,Gurgaon,"The Oberoi, 443, Phase 5, Udyog Vihar, Gurgaon","The Oberoi, Udyog Vihar",,,,Finger Food,,,No,No,,,,3.2,,Average
Melange - The Pllazio Hotel,,Gurgaon,"The Pllazio Hotel, 292-296, City Center, Sector 29, Gurgaon","The Pllazio Hotel, Sector 29",,,,"North Indian, Continental, Chinese",,,Yes,No,,,,3.6,,Good
Qureshi's Kabab Corner,,Gurgaon,"G-44/A, The Sapphire Mall, Opposite Orchid Petals, Sector 49, Near, Sohna Road, Gurgaon","The Sapphire Mall, Sohna Road",,,,"North Indian, Mughlai",,,No,No,,,,3.3,,Average
EEST - The Westin Gurgaon,,Gurgaon,"The Westin Hotel, Sector 29, Gurgaon","The Westin Gurgaon, Sector 29",,,,"Japanese, Chinese, Thai",,,Yes,No,,,,3.9,,Good
Prego - The Westin Gurgaon,,Gurgaon,"The Westin Hotel, Sector 29, Gurgaon","The Westin Gurgaon, Sector 29",,,,Italian,,,Yes,No,,,,3.8,,Good
Seasonal Tastes - The Westin Gurgaon,,Gurgaon,"The Westin Hotel, Sector 29, Gurgaon","The Westin Gurgaon, Sector 29",,,,"North Indian, Asian",,,Yes,No,,,,3.9,,Good
Xiao Chi - The Westin Sohna Resort & Spa,,Gurgaon,"The Westin Sohna Resort & Spa, Vatika Complex, P O Daula, Karanki Road, Sohna Road, Gurgaon","The Westin Sohna Resort & Spa, Sohna Road",,,,Chinese,,,Yes,No,,,,3.4,,Average
The Living Room - The Westin Sohna Resort & Spa,,Gurgaon,"The Westin Sohna Resort & Spa, Vatika Complex, P O Daula, Karanki Road, Sohna Road, Gurgaon","The Westin Sohna Resort & Spa, Sohna Road",,,,Continental,,,No,No,,,,3.7,,Good
The Bar - Trident Gurgaon,,Gurgaon,"Trident, 443, Phase 5, Udyog Vihar, Gurgaon","Trident, Udyog Vihar",,,,Finger Food,,,No,No,,,,3.3,,Average
Konomi - Trident Gurgaon,,Gurgaon,"Trident, 443, Phase 5, Udyog Vihar, Gurgaon","Trident, Udyog Vihar",,,,Japanese,,,No,No,,,,3.5,,Good
L'Opera,,Gurgaon,"Two Horizon Center, Golf Course Road, Gurgaon","Two Horizon Center, Golf Course Road",,,,"Bakery, Desserts, Fast Food",,,No,Yes,,,,3.7,,Good
Town Hall,,Gurgaon,"Two Horizon Center, Golf Course Road, Gurgaon","Two Horizon Center, Golf Course Road",,,,"Japanese, Thai, Italian, Asian",,,Yes,No,,,,3.5,,Good
Whisky Samba,,Gurgaon,"Two Horizon Center, Golf Course Road, Gurgaon","Two Horizon Center, Golf Course Road",,,,"Italian, Burger, Charcoal Grill",,,Yes,No,,,,3.8,,Good
Chokola,,Gurgaon,"Plot 131, Phase 1, Udyog Vihar, Gurgaon",Udyog Vihar,,,,"Bakery, Desserts, Bakery",,,No,No,,,,3.1,,Average
Citrus Cafe - Lemon Tree Hotel,,Gurgaon,"Lemon Tree Hotel, 886, DLF Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,,,,Cafe,,,No,No,,,,2.7,,Average
Green Hut,,Gurgaon,"Opposite Army Canteen, Rao Market, Jwala Mill Road, Sector 18, Udyog Vihar, Gurgaon",Udyog Vihar,,,,"North Indian, Chinese, Fast Food",,,No,No,,,,2.8,,Average
My Plate,,Gurgaon,"Plot 243, 1st Floor, SP Infocity, Phase 1, Udyog Vihar, Gurgaon",Udyog Vihar,,,,North Indian,,,No,No,,,,3.1,,Average
PiccoLicko,,Gurgaon,"Plot 74, Sector 18, Near IFFCO Chowk, Udyog Vihar, Gurgaon",Udyog Vihar,,,,Desserts,,,No,Yes,,,,3.3,,Average
Pind Balluchi,,Gurgaon,"Vanijya Nikunj, Shankar Chowk, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,,,,"North Indian, Mughlai",,,No,Yes,,,,2.7,,Average
Raj Xpresso,,Gurgaon,"238, Next to Plot 702, Peepal Chowk, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,,,,"North Indian, Chinese",,,No,No,,,,2.9,,Average
Riders Hub,,Gurgaon,"Vanijya Nikunj, Near Income Tax Office, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,,,,"Chinese, Continental, North Indian",,,Yes,No,,,,3.1,,Average
Shivani Catering Services,,Gurgaon,"Shop 68, Rao Market, Electronics City, Udyog Vihar, Gurgaon",Udyog Vihar,,,,"North Indian, Chinese",,,No,No,,,,3.1,,Average
The Diet Kitchen,,Gurgaon,"Udyog Vihar, Gurgaon",Udyog Vihar,,,,"Continental, Healthy Food",,,No,Yes,,,,3.3,,Average
The Gr8 Taste of India,,Gurgaon,"Enkay Tower, Phase 5, Udyog Vihar, Gurgaon",Udyog Vihar,,,,"North Indian, Fast Food",,,No,Yes,,,,3,,Average
World Art Cafe,,Gurgaon,"183, Nimitya, Phase I, Udyog Vihar, Gurgaon",Udyog Vihar,,,,Cafe,,,No,No,,,,3.3,,Average
XLNC Bakers,,Gurgaon,"Udyog Vihar, Gurgaon",Udyog Vihar,,,,Bakery,,,No,No,,,,2.9,,Average
Adventure Food,,Gurgaon,"Food Court, Infocity, Udyog Vihar, Gurgaon",Udyog Vihar,,,,Fast Food,,,No,No,,,,0,,Not rated
